doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher,OA Status
10.1111/ajt.16346,open (via free article),publisher,,https://doi.org/10.1111/ajt.16346,TRUE,publishedVersion,2,https://doi.org/10.1111/ajt.16346,journal-article,TRUE,FALSE,FALSE,FALSE,1600-6135,"1600-6135,1600-6143",American Journal of Transplantation,bronze,11/6/2020,Wiley,Free
10.1111/ajt.15732,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajt.15732,TRUE,publishedVersion,2,https://doi.org/10.1111/ajt.15732,journal-article,TRUE,FALSE,FALSE,FALSE,1600-6135,"1600-6135,1600-6143",American Journal of Transplantation,bronze,12/27/2019,Wiley,Free
10.1002/hbm.25206,oa journal (via doaj),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25206,TRUE,publishedVersion,2,https://doi.org/10.1002/hbm.25206,journal-article,TRUE,FALSE,TRUE,TRUE,1065-9471,"1065-9471,1097-0193",Human Brain Mapping,gold,10/7/2020,Wiley,Full OA journal
10.1111/acel.12964,oa journal (via doaj),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acel.12964,TRUE,publishedVersion,2,https://doi.org/10.1111/acel.12964,journal-article,TRUE,FALSE,TRUE,TRUE,1474-9718,"1474-9718,1474-9726",Aging Cell,gold,5/29/2019,Wiley,Full OA journal
10.1002/cam4.1996,oa journal (via doaj),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cam4.1996,TRUE,publishedVersion,2,https://doi.org/10.1002/cam4.1996,journal-article,TRUE,FALSE,TRUE,TRUE,2045-7634,"2045-7634,2045-7634",Cancer Medicine,gold,4/18/2019,Wiley,Full OA journal
10.1111/gcb.15353,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gcb.15353,TRUE,publishedVersion,2,https://doi.org/10.1111/gcb.15353,journal-article,TRUE,FALSE,FALSE,FALSE,1354-1013,"1354-1013,1365-2486",Global Change Biology,hybrid,10/7/2020,Wiley,Hybrid OA
10.1002/humu.23411,open (via crossref license),publisher,cc-by,https://doi.org/10.1002/humu.23411,TRUE,publishedVersion,2,https://doi.org/10.1002/humu.23411,journal-article,TRUE,FALSE,FALSE,FALSE,1059-7794,1059-7794,Human Mutation,hybrid,4/6/2018,Wiley,Hybrid OA
10.1002/cjs.11487,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cjs.11487,TRUE,acceptedVersion,2,https://doi.org/10.1002/cjs.11487,journal-article,TRUE,FALSE,FALSE,FALSE,0319-5724,"0319-5724,1708-945X",Canadian Journal of Statistics,bronze,2/25/2019,Wiley,Archived manuscript
10.1002/cpt.1166,open (via crossref license),publisher,cc-by-nc,https://doi.org/10.1002/cpt.1166,TRUE,publishedVersion,2,https://doi.org/10.1002/cpt.1166,journal-article,TRUE,FALSE,FALSE,FALSE,0009-9236,"0009-9236,1532-6535",Clinical Pharmacology & Therapeutics,hybrid,8/20/2018,Wiley,Hybrid OA
10.1002/hbm.24383,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/hbm.24383,TRUE,acceptedVersion,2,https://doi.org/10.1002/hbm.24383,journal-article,TRUE,FALSE,FALSE,FALSE,1065-9471,"1065-9471,1097-0193",Human Brain Mapping,bronze,12/19/2018,Wiley,Archived manuscript
10.1002/gepi.22288,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gepi.22288,TRUE,publishedVersion,2,https://doi.org/10.1002/gepi.22288,journal-article,TRUE,FALSE,FALSE,FALSE,0741-0395,"0741-0395,1098-2272",Genetic Epidemiology,hybrid,3/1/2020,Wiley,Hybrid OA
10.1107/s2056989020008051,oa journal (via doaj),publisher,cc-by,https://journals.iucr.org/e/issues/2020/07/00/zl2785/zl2785.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s2056989020008051,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,6/23/2020,International Union of Crystallography (IUCr),Full OA journal
